ST_CASE,VEH_NO,PER_NO,AGE,SEX,PER_TYP,SEAT_POS,REST_USE,AIR_BAG,DRUGS,LOCATION,NUMOCCS,HIT_RUN,OWNER,V_CONFIG,HAZ_INV,TRAV_SP,DR_HGT,DR_WGT,PREV_SPD,SPEEDREL,VTRAFWAY,VNUM_LAN,VPROFILE,VPAVETYP,VSURCOND,P_CRASH1,P_CRASH2,DR_DRINK,VPICBODYCLASS,DRDISTRACT,DRIVERRF,DAY,MONTH,YEAR,DAY_WEEK,HOUR,RUR_URB,HARM_EV,RELJCT2,TYP_INT,REL_ROAD,LGT_COND,WEATHER,INJ_SEV
121526,1,1,17,1,1,11,3,1,0,0,2,0,2,0,1,45,77,999,0,0,2,2,1,8,1,1,83,0,5,99,0,9,7,2020,5,23,2,9,1,1,1,3,1,3
121527,1,1,49,1,1,11,3,20,0,0,1,0,3,0,1,1,64,999,0,0,2,3,1,8,1,11,15,0,60,99,48,7,7,2020,3,11,2,12,2,2,1,1,1,1
121528,1,1,32,1,1,11,3,20,9,0,99,1,1,0,1,20,73,999,0,0,1,2,1,8,1,11,15,0,60,99,38,10,7,2020,6,22,2,12,2,3,1,3,10,0
121530,1,1,59,1,1,11,3,8,9,0,1,0,1,0,1,41,74,999,0,0,1,5,1,8,1,1,17,0,13,99,0,5,6,2020,6,0,2,12,2,2,1,3,1,4
121531,1,1,32,2,1,11,3,2,0,0,1,0,1,0,1,45,63,999,0,0,1,3,1,8,1,11,15,0,13,0,0,10,6,2020,4,2,2,12,2,2,1,3,1,0
121533,1,1,55,1,1,11,3,1,0,0,1,0,2,0,1,80,999,999,0,0,5,5,1,8,1,15,10,1,7,99,36,30,6,2020,3,14,2,12,1,1,1,1,1,4
121534,1,1,24,1,1,11,20,20,1,0,1,0,1,0,1,49,999,999,0,0,9,8,1,8,11,1,98,1,85,99,6,26,6,2020,6,19,2,35,1,1,4,5,10,4
121535,1,1,57,2,1,11,3,8,0,0,1,0,1,0,1,5,62,999,0,0,3,5,6,8,1,13,54,0,13,0,31,4,7,2020,7,13,2,12,1,1,1,1,1,4
121536,1,1,34,2,1,11,20,8,9,0,1,0,1,0,1,45,66,999,0,0,2,4,1,8,1,11,15,0,13,0,38,29,6,2020,2,22,2,12,2,2,1,3,1,4
121537,1,1,998,8,1,11,20,20,8,0,99,1,9,0,1,40,999,999,99,0,1,2,6,8,1,1,9,0,85,0,0,12,6,2020,6,21,2,12,1,1,1,2,1,9
121541,1,1,67,1,1,11,20,20,0,0,1,0,1,0,1,998,70,999,0,0,1,3,1,8,1,99,17,0,13,0,0,18,6,2020,5,10,2,12,2,2,1,1,1,4
121542,1,1,89,1,1,11,3,8,9,0,2,0,1,0,1,25,70,999,0,0,2,6,1,8,1,1,12,0,13,99,0,4,7,2020,7,17,2,12,3,2,1,1,10,4
121543,1,1,39,1,1,11,20,20,0,0,1,0,1,0,1,50,67,999,0,3,2,3,1,8,1,1,62,0,81,0,0,4,7,2020,7,16,2,12,2,3,1,1,10,4
121544,1,1,65,2,1,11,3,8,0,0,1,0,1,0,1,55,67,999,0,0,1,2,1,8,1,1,17,0,7,99,39,24,6,2020,4,9,2,12,2,2,1,1,10,4
121547,1,1,63,2,1,11,3,8,0,0,3,0,2,0,1,55,74,999,0,0,1,2,1,8,1,1,13,0,5,99,58,12,6,2020,6,12,2,12,1,1,1,1,1,4
121548,1,1,34,2,1,11,20,8,1,0,1,0,1,0,1,70,63,999,0,4,3,4,5,8,2,1,11,1,7,99,0,30,6,2020,3,22,2,12,1,1,1,3,2,4
121549,1,1,69,1,1,11,3,20,0,0,1,0,1,0,1,40,71,999,0,0,1,2,6,8,1,1,11,0,7,0,6,8,7,2020,4,6,2,9,1,1,2,4,1,0
121550,1,1,44,1,1,11,3,20,0,0,1,0,1,0,1,45,72,999,0,0,2,3,6,8,1,1,83,0,13,0,0,10,7,2020,6,0,2,9,1,1,1,8,1,0
121552,1,1,46,1,1,11,3,20,0,0,2,0,1,0,1,50,69,999,0,0,2,4,1,8,1,1,80,0,7,0,0,4,7,2020,7,22,2,8,3,2,1,2,1,0
121553,1,1,54,1,1,11,20,20,9,0,1,0,1,0,1,1,999,999,1,0,2,2,1,8,1,14,13,0,94,99,0,13,7,2020,2,18,2,33,1,1,4,1,1,4
121554,1,1,29,1,1,11,3,8,0,0,2,0,1,0,1,15,75,999,0,0,2,3,1,8,1,12,21,0,7,0,38,14,7,2020,3,20,2,12,2,3,1,3,1,0
121557,1,1,29,2,1,11,3,20,0,0,2,0,1,0,1,45,70,999,1,0,2,2,1,8,2,1,80,0,7,0,0,7,6,2020,1,0,2,8,1,1,1,3,2,0
121558,1,1,25,1,1,11,20,20,1,0,1,0,1,0,1,50,67,999,0,0,1,2,1,8,1,1,50,1,94,0,6,10,7,2020,6,22,2,12,1,1,1,2,1,4
121560,1,1,54,2,1,11,3,20,0,0,1,0,1,0,1,998,68,999,0,0,1,2,1,8,1,11,15,0,13,99,38,26,6,2020,6,16,2,12,2,3,1,1,1,0
121561,1,1,63,1,1,11,20,20,1,0,1,0,1,0,1,998,68,999,0,3,2,3,1,8,1,14,13,1,80,99,6,28,6,2020,1,6,2,33,1,1,4,4,1,4
121563,1,1,77,1,1,11,20,20,0,0,1,0,1,0,1,45,70,999,0,0,2,2,1,2,1,14,13,0,81,0,0,25,2,2020,3,8,2,1,1,1,4,1,1,4
121566,1,1,74,1,1,11,3,20,0,0,2,0,2,0,1,10,76,999,0,0,2,4,1,8,1,11,15,0,13,0,38,2,6,2020,3,11,2,12,2,2,1,1,1,4
121567,1,1,62,1,1,11,20,20,0,0,1,0,1,0,1,1,999,999,0,0,2,3,1,8,1,99,10,0,12,99,38,2,6,2020,3,14,2,12,1,1,1,1,1,4
121568,1,1,46,1,1,11,20,8,0,0,1,0,1,0,1,10,77,999,0,0,2,4,1,8,2,12,98,0,13,0,0,6,6,2020,7,2,2,12,1,1,1,2,2,4
121569,1,1,67,2,1,11,3,8,0,0,1,0,1,0,1,10,64,999,0,0,2,3,1,8,1,11,15,0,13,99,38,20,6,2020,7,16,2,12,2,2,1,1,1,4
121573,1,1,49,1,1,11,3,2,0,0,1,0,2,0,1,15,71,999,0,0,1,2,1,8,1,1,17,0,13,0,38,10,7,2020,6,11,2,12,2,2,1,1,1,0
121575,1,1,30,1,1,11,20,20,0,0,3,0,2,0,1,85,999,999,0,0,3,6,1,8,1,15,10,1,7,93,6,5,7,2020,1,14,2,12,1,1,1,1,10,4
121576,1,1,36,2,1,11,3,20,0,0,1,0,1,0,1,45,65,999,0,0,2,2,1,8,1,1,83,0,7,0,39,3,7,2020,6,10,2,9,3,2,1,1,1,0
121577,1,1,28,1,1,11,98,20,9,0,99,1,1,0,1,998,69,999,0,0,2,4,1,8,1,11,15,0,13,99,38,14,7,2020,3,17,2,12,2,3,1,1,1,0
121578,1,1,53,1,1,11,20,20,1,0,1,0,1,0,1,48,68,999,0,0,2,3,1,2,2,1,13,1,60,0,6,15,6,2020,2,0,2,43,1,1,6,2,10,4
121580,1,1,29,2,1,11,3,8,0,0,5,0,2,0,1,65,64,999,0,0,3,7,1,8,2,1,51,1,13,99,6,4,7,2020,7,22,2,12,18,1,1,3,10,2
121582,1,1,37,1,1,11,3,20,0,0,1,0,1,0,1,20,72,999,1,0,1,2,1,8,1,11,15,0,7,0,38,5,7,2020,1,20,2,12,2,3,1,5,1,3
121583,1,1,63,1,1,11,3,1,1,0,1,0,1,0,1,20,72,999,0,0,2,3,1,8,1,11,15,0,13,0,38,11,7,2020,7,16,2,12,2,2,1,1,1,1
121585,1,1,25,2,1,11,3,20,0,0,1,0,2,0,1,50,63,999,1,0,2,3,1,8,1,1,80,0,13,0,0,14,7,2020,3,22,2,8,1,1,1,3,1,0
121587,1,1,20,1,1,11,3,20,0,0,1,0,1,0,1,80,74,999,0,0,3,4,1,8,1,15,11,0,5,93,6,3,7,2020,6,22,2,12,1,1,1,3,1,2
121588,1,1,30,2,1,11,20,20,9,0,1,0,1,0,1,25,63,999,0,0,1,2,1,8,1,1,13,0,12,99,28,15,7,2020,4,19,2,14,1,1,5,1,1,4
121589,1,1,49,1,1,11,20,20,1,0,1,0,1,0,1,50,67,999,0,0,2,2,6,8,1,1,98,1,125,99,58,9,5,2020,7,0,2,1,1,1,1,3,1,4
121590,1,1,88,1,1,11,3,8,0,0,1,0,1,0,1,40,999,999,0,0,2,2,5,8,1,14,54,0,13,0,51,24,6,2020,4,14,2,12,1,1,1,1,1,4
121591,1,1,77,1,1,11,20,20,0,0,1,0,1,0,1,10,74,999,0,0,0,0,0,0,0,13,20,0,60,0,0,28,6,2020,1,18,2,12,8,1,1,5,1,4
121593,1,1,40,2,1,11,3,8,9,0,2,0,2,0,1,45,69,999,0,0,2,2,1,8,1,1,12,1,13,99,6,2,7,2020,5,4,2,24,1,1,4,4,10,4
121594,1,1,17,2,1,11,3,1,9,0,5,0,2,0,1,80,67,999,0,3,2,4,1,8,1,1,13,0,13,99,58,4,7,2020,7,21,2,30,1,1,4,3,1,4
121595,1,1,24,1,1,11,20,20,9,0,1,0,2,0,1,5,68,999,1,0,1,3,1,8,1,1,17,0,13,99,0,29,6,2020,2,22,2,12,2,2,1,3,1,4
121596,1,1,27,2,1,11,3,20,0,0,1,0,2,0,1,40,999,999,0,0,5,5,1,8,1,1,80,0,13,0,0,9,7,2020,5,3,2,8,1,1,1,2,1,0
